image,class,subset
image/1209.jpeg,bumper_dent,V
image/1210.jpeg,unknown,V
image/1211.jpeg,unknown,V
image/1212.jpeg,unknown,V
image/1213.jpeg,door_scratch,V
image/1214.jpeg,glass_shatter,V
image/1215.jpeg,unknown,V
image/1216.jpeg,door_dent,V
image/1217.jpeg,door_dent,V
image/1218.jpeg,unknown,V
image/1219.jpeg,door_dent,V
image/1220.jpeg,door_dent,V
image/1221.jpeg,head_lamp,V
image/1222.jpeg,door_scratch,V
image/1223.jpeg,tail_lamp,V
image/1224.jpeg,glass_shatter,V
image/1225.jpeg,door_dent,V
image/1226.jpeg,glass_shatter,V
image/1227.jpeg,door_scratch,V
image/1228.jpeg,unknown,V
image/1229.jpeg,bumper_scratch,V
image/1230.jpeg,tail_lamp,V
image/1231.jpeg,bumper_dent,V
image/1232.jpeg,unknown,V
image/1233.jpeg,unknown,V
image/1234.jpeg,unknown,V
image/1235.jpeg,bumper_scratch,V
image/1236.jpeg,unknown,V
image/1237.jpeg,unknown,V
image/1238.jpeg,door_scratch,V
image/1239.jpeg,unknown,V
image/1240.jpeg,tail_lamp,V
image/1241.jpeg,door_dent,V
image/1242.jpeg,door_scratch,V
image/1243.jpeg,glass_shatter,V
image/1244.jpeg,door_scratch,V
image/1245.jpeg,door_dent,V
image/1246.jpeg,unknown,V
image/1247.jpeg,unknown,V
image/1248.jpeg,bumper_scratch,V
image/1249.jpeg,head_lamp,V
image/1250.jpeg,unknown,V
image/1251.jpeg,tail_lamp,V
image/1252.jpeg,unknown,V
image/1253.jpeg,door_dent,V
image/1254.jpeg,unknown,V
image/1255.jpeg,unknown,V
image/1256.jpeg,tail_lamp,V
image/1257.jpeg,unknown,V
image/1258.jpeg,head_lamp,V
image/1259.jpeg,bumper_dent,V
image/1260.jpeg,head_lamp,V
image/1261.jpeg,head_lamp,V
image/1262.jpeg,tail_lamp,V
image/1263.jpeg,unknown,V
image/1264.jpeg,unknown,V
image/1265.jpeg,unknown,V
image/1266.jpeg,tail_lamp,V
image/1267.jpeg,head_lamp,V
image/1268.jpeg,unknown,V
image/1269.jpeg,tail_lamp,V
image/1270.jpeg,unknown,V
image/1271.jpeg,bumper_dent,V
image/1272.jpeg,door_dent,V
image/1273.jpeg,unknown,V
image/1274.jpeg,head_lamp,V
image/1275.jpeg,tail_lamp,V
image/1276.jpeg,door_dent,V
image/1277.jpeg,bumper_scratch,V
image/1278.jpeg,unknown,V
image/1279.jpeg,door_dent,V
image/1280.jpeg,unknown,V
image/1281.jpeg,door_scratch,V
image/1282.jpeg,unknown,V
image/1283.jpeg,tail_lamp,V
image/1284.jpeg,door_dent,V
image/1285.jpeg,unknown,V
image/1286.jpeg,unknown,V
image/1287.jpeg,door_scratch,V
image/1288.jpeg,unknown,V
image/1289.jpeg,glass_shatter,V
image/1290.jpeg,head_lamp,V
image/1291.jpeg,door_dent,V
image/1292.jpeg,head_lamp,V
image/1293.jpeg,unknown,V
image/1294.jpeg,unknown,V
image/1295.jpeg,unknown,V
image/1296.jpeg,unknown,V
image/1297.jpeg,tail_lamp,V
image/1298.jpeg,door_scratch,V
image/1299.jpeg,unknown,V
image/1300.jpeg,glass_shatter,V
image/1301.jpeg,bumper_dent,V
image/1302.jpeg,unknown,V
image/1303.jpeg,glass_shatter,V
image/1304.jpeg,unknown,V
image/1305.jpeg,door_scratch,V
